"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка открытия страницы авторизации","3012","Проверка открытия страницы авторизации","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","openLoginPageTest"
"Проверка кликабельности элемента Pricing","2911","Проверка кликабельности элемента Pricing","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickPricingTest"
"Проверка кликабельности точек-кнопок и отображение зависимостей","2078","Проверка кликабельности точек-кнопок и отображение зависимостей","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickButtonDotsTest"
"Проверка вкладки Solutions","48863","Проверка вкладки Solutions","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkSolutionsTest"
"Проверка кликабельности бело-синих кнопок","4013","Проверка кликабельности бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickWhiteAndBlueButtonsTest"
"Проверка наличия кнопок авторизации","11681","Проверка наличия кнопок авторизации","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationButtonsTest"
"Проверка функции Forgot Password","7981","Проверка функции Forgot Password","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkForgotPassTest"
"Проверка открытия главной страницы","404","Проверка открытия главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","openLoginPageTest"
"Проверка вкладки Resources","44441","Проверка вкладки Resources","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkResourcesTest"
"Проверка кликабельности кнопки SignUp","14542","Проверка кликабельности кнопки SignUp","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkButtonSignUpTest"
"Проверка hover эффекта бело-синих кнопок","25292","Проверка hover эффекта бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-07-31","failed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkHoverWhiteAndBlueButtonsTest"
"Проверка вкладки Features","42889","Проверка вкладки Features","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkFeaturesTest"
"Проверка авторизации, позитивный сценарий","18374","Проверка авторизации, позитивный сценарий","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationPositiveTest"
"Проверка вкладки Plans","35106","Проверка вкладки Plans","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlansTest"
"Проверка наличия вкладок главной страницы","374","Проверка наличия вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkTabElementsTest"
"Проверка чекбокса Запомнить меня","3878","Проверка чекбокса Запомнить меня","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkCheckboxTest"
"Проверка подложки в поле для email","733","Проверка подложки в поле для email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlaceholderTest"
"Проверка сообщения пустого email","9891","Проверка сообщения пустого email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailEmptyTest"
"Проверка всплывающего окна вкладок главной страницы","1955","Проверка всплывающего окна вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPopUpWindowTest"
"Проверка сообщения некорректного email","9883","Проверка сообщения некорректного email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailIncorrectTest"
